benchmark,formula_count,avg_length,avg_operator_count,avg_atomic_props,avg_nesting_depth,avg_temporal_ops,avg_automaton_states,avg_structural_complexity,avg_temporal_complexity,avg_automaton_complexity,avg_overall_complexity,max_overall_complexity,complexity_variance,total_time,time_per_formula,equivalence_class_time,containment_analysis_time
adding.4_000,413,67.0726392251816,8.2227602905569,2.486682808716707,3.5060532687651333,2.6585956416464893,5.084745762711864,36.157627118644065,23.652542372881356,6.256174334140436,22.185157384987896,87.78,180.0290709800726,0.0,0.0,0.0,0.0
anderson.1_000,9,44.0,4.0,2.2222222222222223,3.2222222222222223,0.0,2.0,24.288888888888888,0.0,2.3555555555555556,7.993333333333335,11.76,3.4662222222222216,0.0,0.0,0.0,0.0
anderson.2_000,9,54.666666666666664,5.333333333333333,2.5555555555555554,3.3333333333333335,0.0,2.0,28.688888888888886,0.0,2.3555555555555556,9.313333333333333,14.82,6.729622222222222,0.0,0.0,0.0,0.0
anderson.3_000,9,54.666666666666664,5.333333333333333,2.5555555555555554,3.3333333333333335,0.0,2.0,28.688888888888886,0.0,2.355555555555555,9.313333333333334,14.82,6.729622222222222,0.0,0.0,0.0,0.0
anderson.4_000,9,68.66666666666667,7.111111111111111,2.888888888888889,3.3333333333333335,0.0,2.0,33.97777777777778,0.0,2.3555555555555556,10.9,25.200000000000003,29.407200000000007,0.0,0.0,0.0,0.0
anderson.5_000,8,92.375,10.0,3.5,3.375,0.0,2.125,42.862500000000004,0.0,2.5,13.60875,38.94,97.37548593749999,0.0,0.0,0.0,0.0
anderson.6_000,9,107.33333333333333,12.0,3.5555555555555554,3.3333333333333335,0.0,2.0,48.28888888888889,0.0,2.3555555555555556,15.193333333333332,56.04,218.01822222222216,0.0,0.0,0.0,0.0
anderson.7_000,7,126.85714285714286,14.428571428571429,4.142857142857143,3.4285714285714284,0.0,2.0,55.97142857142858,0.0,2.3428571428571425,17.494285714285713,56.04,256.4635959183673,0.0,0.0,0.0,0.0
anderson.8_000,4,63.5,6.25,3.5,3.25,0.0,2.25,32.1,0.0,2.625,10.4175,16.59,15.603468749999998,0.0,0.0,0.0,0.0
at.1_000,6,40.833333333333336,3.8333333333333335,2.0,3.0,0.0,1.6666666666666667,22.75,0.0,1.95,7.41,9.09,1.2254999999999991,0.0,0.0,0.0,0.0
at.2_000,6,40.833333333333336,3.8333333333333335,2.0,3.0,0.0,1.6666666666666667,22.75,0.0,1.95,7.41,9.09,1.2254999999999991,0.0,0.0,0.0,0.0
at.3_000,6,45.833333333333336,4.5,2.3333333333333335,3.0,0.0,1.6666666666666667,24.916666666666668,0.0,1.95,8.06,11.04,4.059499999999997,0.0,0.0,0.0,0.0
at.4_000,6,50.833333333333336,5.166666666666667,2.6666666666666665,3.0,0.0,1.6666666666666667,27.083333333333332,0.0,1.95,8.709999999999999,12.99,8.583499999999999,0.0,0.0,0.0,0.0
at.5_000,12,48.333333333333336,4.833333333333333,2.5,3.0,0.0,1.6666666666666667,26.000000000000004,0.0,1.95,8.385,12.99,6.427124999999999,0.0,0.0,0.0,0.0
at.6_000,6,50.833333333333336,5.166666666666667,2.6666666666666665,3.0,0.0,1.6666666666666667,27.083333333333332,0.0,1.95,8.71,12.99,8.583499999999999,0.0,0.0,0.0,0.0
at.7_000,5,59.6,6.2,3.4,3.0,0.0,1.8,30.76,0.0,2.1,9.858,14.94,16.268975999999995,0.0,0.0,0.0,0.0
bakery.1_000,9,46.666666666666664,4.0,2.2222222222222223,3.2222222222222223,0.0,2.0,24.555555555555557,0.0,2.355555555555556,8.073333333333332,12.120000000000001,4.038488888888889,0.0,0.0,0.0,0.0
bakery.2_000,9,46.666666666666664,4.0,2.2222222222222223,3.2222222222222223,0.0,2.0,24.555555555555557,0.0,2.3555555555555556,8.073333333333332,12.120000000000001,4.038488888888889,0.0,0.0,0.0,0.0
