Metric,Value
total_benchmarks,142
total_original_formulas,3628.0
total_optimized_formulas,2334.0
overall_reduction_percentage,35.667034178610805
formulas_eliminated,1294.0
avg_reduction_per_benchmark,36.17508907940171
median_reduction_per_benchmark,50.0
max_reduction,91.66666666666666
min_reduction,0.0
std_reduction,24.152963912257434
total_processing_time,67045.50225496292
avg_processing_time,472.1514243307248
avg_time_per_formula,0.8453661811001432
fastest_benchmark,extinction.2_000
slowest_benchmark,leader-election.3_000
total_equivalence_classes,157.0
avg_classes_per_benchmark,1.1056338028169015
total_multi_formula_classes,156.0
multi_class_ratio,99.36305732484077
best_reduction_benchmark,at.5_000
worst_reduction_benchmark,bopdp.1_000
largest_benchmark,leader-election.3_000
smallest_benchmark,extinction.1_000
total_analyzed_classes,156
avg_class_reduction,33.15296570048104
median_class_reduction,50.0
avg_original_class_size,23.25
max_class_size,633
classes_with_100_percent_reduction,0
classes_with_no_reduction,46
