,formula,time,result
0,"!(<>!<>""a2==K"" -> X ""a2==K"")",11.646056132973172,False
1,"!(X <>[]([]""a2==S"" R ([]<>(X ""a2==S"" -> ""a1==S"") U <>""a1==K"")))",5.977170499972999,True
2,"!(([]""a1==K"" R <>(""a2==K"" R X ""a1==S"")) && (false R <>""a2==S""))",14.196460023056716,True
3,"!(<>[]X ((X (""a2==S"" U ""a1==S"") U (X (""a2==S"" U ""a1==S"") && !(""a1==S"" <-> <>""a1==S""))) R <>""a2==S""))",8.030233938945457,True
4,"!(<>[](""a2==S"" U (""a2==S"" && (""a1==K"" || ""a2==K""))))",9.780183940078132,True
5,"!([]!([]<>(!""a1==S"" && ![]""a1==K"") <-> (!""a2==K"" R (!""a2==K"" || <>""a1==S""))))",12.179687793948688,True
6,"!(!((true U []""a1==K"") <-> X (""a2==S"" && (""a1==S"" || ""a2==K""))))",7.795501654967666,True
7,"!(!(X ""a2==S"" R (""a1==S"" || X ""a2==S"")) R ([]<>""a1==K"" || !(X ""a2==S"" R (""a1==S"" || X ""a2==S""))))",12.146007889998145,False
8,"!(!X ([]<>""a1==K"" R !""a1==K"") -> (""a1==K"" R ""a2==K""))",5.603851702995598,False
9,"!([]!""a1==S"" R ((<>""a1==K"" <-> <>""a2==K"") || []!""a1==S""))",8.504476555041037,False
10,"!(!((""a1==K"" R (""a1==K"" || ""a2==K"")) R X ""a1==K"") <-> !(<>""a1==K"" U ((""a2==S"" R ""a2==K"") && <>""a1==K"")))",16.858786200988106,False
11,"!([]<>(""a1==S"" && !X <>((""a1==K"" && ""a2==S"") U (""a1==K"" && ""a1==S"" && ""a2==S""))))",12.688562565017492,True
12,"!((""a2==K"" <-> []<>""a2==K"") <-> X (X ""a1==S"" <-> X ""a2==K""))",14.54568161291536,False
13,"!(([]""a2==S"" || <>""a1==S"") <-> (""a2==S"" R (""a2==S"" || [](true U ""a2==K""))))",6.018709345953539,False
14,"!([]([]!<>[]""a1==K"" U (<>[]""a2==K"" || !(""a2==S"" U ""a1==K""))))",15.388479222077876,False
15,"!([](<>""a1==S"" U (""a2==S"" R (""a2==S"" || []X (""a1==S"" <-> (""a2==K"" <-> (""a1==K"" U ""a2==S"")))))))",13.31970349198673,True
16,"!([](((true U ""a2==S"") U <>""a1==K"") -> <>X ""a1==K""))",5.642032001982443,False
17,"!([](""a2==K"" || (X <>""a1==K"" R (""a2==K"" || X <>""a1==K""))))",6.945248045958579,True
18,"!(!([]<>""a1==K"" <-> [](""a1==K"" && <>""a2==K"")))",5.863009409978986,True
19,"!(<>[]([]!""a2==K"" -> ""a2==S""))",13.047571417992003,True
20,"!(([]""a1==S"" U (""a2==S"" U (""a2==S"" && X []!""a1==S""))) U [](""a1==S"" -> <>""a1==K""))",6.651691102073528,False
21,"!(<>""a2==K"" <-> X (true U (false R ""a1==S"")))",8.114111475995742,False
22,"!(!(X !""a1==K"" <-> <>[](true U [](""a2==S"" && <>""a1==S""))))",16.644546829047613,False
23,"!(!X (![](""a1==K"" U ""a2==S"") U ([]!""a1==K"" && ![](""a1==K"" U ""a2==S""))))",8.51315528305713,True
24,"!(X !((""a1==S"" || !<>""a2==S"") <-> !(""a1==S"" <-> []<>""a2==S"")))",5.939263859996572,False
25,"!((false R <>""a2==S"") <-> X ((""a1==S"" <-> ""a2==K"") && (""a1==K"" <-> !""a2==K"")))",16.59227840497624,False
26,"!(X ""a2==K"" <-> !(false R <>""a1==K""))",16.344673497020267,False
27,"!(X (!""a2==K"" R (([]""a1==S"" || <>[]""a1==S"") U (""a2==K"" && X ""a2==K"" && ([]""a1==S"" || <>[]""a1==S"")))))",16.577507641050033,True
28,"!(!(""a1==S"" <-> (<>X (true U ""a2==K"") || <>[](![]""a1==K"" U ""a2==S""))))",11.858657817007042,False
29,"!((true U ""a2==K"") -> []<>""a1==S"")",5.913650752045214,False
30,"!((""a1==K"" <-> ""a1==S"") -> []X !(<>""a1==K"" <-> (""a1==K"" U (""a1==K"" && ""a1==S""))))",5.893219287041575,True
