,formula,time,result
0,"!([](<>""torch==two"" U (X (""soldier_2==go_left"" || (!(""soldier_6==right"" || []""soldier_7==go_left"") U []""soldier_2==go_left"")) && <>""torch==two"")))",4.7637717530597,True
1,"!(<>X X []((!""soldier_3==go_left"" <-> ""torch==two"") U ((!""soldier_3==go_left"" <-> ""torch==two"") && (""soldier_4==right"" R (""soldier_2==go_right"" && ""soldier_6==go_right"")))))",1.6339843969326466,True
2,"!([]<>(((""soldier_7==right"" && <>""soldier_7==go_right"") U (""soldier_7==right"" && <>""soldier_7==go_right"" && (""soldier_5==go_right"" R (""soldier_5==go_right"" || X ""soldier_4==go_left"")))) U ((""torch==one"" U (""soldier_8==right"" && ""torch==one"")) && ((""soldier_7==right"" && <>""soldier_7==go_right"") U (""soldier_7==right"" && <>""soldier_7==go_right"" && (""soldier_5==go_right"" R (""soldier_5==go_right"" || X ""soldier_4==go_left"")))))))",4.069411408039741,True
3,"!([]([](""soldier_6==go_right"" U (""soldier_2==go_left"" -> ""torch==one"")) <-> ([]""soldier_6==right"" R ((""soldier_5==go_left"" -> <>""soldier_3==go_right"") || []""soldier_6==right""))))",5.578626582981087,False
4,"!((""soldier_8==go_right"" R (""soldier_8==go_right"" || <>X []<>!""torch==going"")) U ((X ""soldier_7==go_left"" || <>X ""soldier_1==right"") && (""soldier_8==go_right"" R (""soldier_8==go_right"" || <>X []<>!""torch==going""))))",2.105800647987053,True
5,"!(""soldier_5==go_right"" <-> !([]X !""soldier_7==go_left"" <-> (X ""torch==two"" R <>(""soldier_5==go_right"" U (""soldier_5==go_right"" && ""soldier_8==go_left"")))))",7.4953231499530375,False
6,"!(<>([]""torch==going"" <-> X (<>""soldier_1==go_right"" U (""soldier_3==go_right"" && <>""soldier_1==go_right""))) -> X (""soldier_1==go_left"" && <>""torch==one""))",1.9125019389903173,True
7,"!((<>""soldier_1==right"" U (""soldier_5==go_left"" U (""soldier_5==go_left"" && ""soldier_8==go_right""))) U (X !(<>[]""soldier_1==go_right"" <-> (""soldier_3==go_right"" R (""soldier_1==right"" || ""soldier_3==go_right""))) && (<>""soldier_1==right"" U (""soldier_5==go_left"" U (""soldier_5==go_left"" && ""soldier_8==go_right"")))))",7.7563834900502115,True
8,"!(X <>(X ""torch==two"" U <>[](true U (""soldier_4==go_right"" && <>""soldier_1==go_left""))))",1.574012455996126,True
9,"!(!(<>""soldier_7==go_right"" U ((""soldier_8==go_left"" <-> !(""soldier_7==right"" U (""soldier_4==go_right"" R !(""soldier_6==go_left"" && ""soldier_8==go_right"")))) && <>""soldier_7==go_right"")))",2.0981619749218225,False
10,"!([](""soldier_1==right"" -> (""soldier_2==go_left"" R X <>(""soldier_2==go_right"" U (""soldier_2==go_right"" && ""soldier_7==go_left"")))) U ((""soldier_8==go_left"" -> ""soldier_4==right"") && [](""soldier_1==right"" -> (""soldier_2==go_left"" R X <>(""soldier_2==go_right"" U (""soldier_2==go_right"" && ""soldier_7==go_left""))))))",3.3917994040530175,False
