,formula,time,result
0,"!((""Slave2==got"" || (<>""User3==got"" <-> (""Slave4==got"" U (""Slave4==got"" && ((""User1==wrong_data"" -> []""Slave1==enquire"") R ""Slave4==enquire""))))) U ""User1==wrong_data"")",45.05314932600595,True
1,"!(!<>([]<>(""User1==wrong_data"" -> ""Slave3==got"") && (!(""Medium==collision"" <-> ""Medium==got"") <-> (""User4==wrong_data"" U ""Medium==got""))))",1000.0,
2,"!(!(X <>(<>""Medium==got"" U []""User4==wrong_data"") <-> (""User2==got"" && ((""Medium==broadcast"" R ""User2==got"") R (""User3==wrong_data"" || (""Medium==broadcast"" R ""User2==got""))))))",1000.0,
3,"!(X []<>!(<>[]""Medium==got"" <-> []!(X ""User4==got"" <-> (""Slave1==got"" U ""Slave2==enquire""))))",1000.0,
4,"!(!(!""User4==got"" <-> (!<>""User2==wrong_data"" || <>([]""Slave4==got"" || <>""User2==got""))))",41.346684513031505,True
5,"!(""User2==got"" U <>(<>""User4==wrong_data"" R (""User3==got"" || !(<>""Medium==got"" <-> (X ""Master==wait"" R ""Slave3==enquire"")))))",1000.0,
6,"!(<>[]""Slave2==got"" <-> ((""Medium==collision"" <-> <>""Slave2==enquire"") -> !(""Master==wait"" U (""User1==got"" -> ""Slave3==got""))))",1000.0,
7,"!(<>(([]X ""User3==got"" R (""Medium==got"" U ""Slave3==enquire"")) || !(""User1==wrong_data"" <-> (""User1==wrong_data"" && <>""Slave2==enquire""))))",1000.0,
8,"!(X ""Slave4==enquire"" || ([]""User4==wrong_data"" R ([]""User4==wrong_data"" || (X !""Slave3==enquire"" -> ((""Slave4==enquire"" -> ""User1==got"") U (""User2==wrong_data"" && (""Slave4==enquire"" -> ""User1==got"")))))))",21.832586414995603,True
9,"!(X (!X ""User1==got"" <-> (<>""Slave1==got"" <-> <>(""Slave4==enquire"" && (""Medium==got"" U (""Medium==got"" && []""Slave3==enquire""))))))",1000.0,
10,"!(!<>((""Medium==broadcast"" R ""Slave2==got"") R ((!""Slave3==enquire"" U (""Slave3==enquire"" || (""Medium==got"" <-> <>""Slave1==enquire""))) || (""Medium==broadcast"" R ""Slave2==got""))))",1000.0,
11,"!(!([](""Slave4==enquire"" <-> ""Slave4==got"") <-> !(""Slave4==got"" <-> (""User1==got"" U ""User2==wrong_data""))) R (<>""User3==wrong_data"" || !([](""Slave4==enquire"" <-> ""Slave4==got"") <-> !(""Slave4==got"" <-> (""User1==got"" U ""User2==wrong_data"")))))",119.8159496759763,False
12,"!([]!(""User2==wrong_data"" <-> (<>""User3==wrong_data"" <-> ((""User1==got"" -> ""User3==wrong_data"") || <>""User1==got""))))",123.85165307496209,True
13,"!((""Medium==broadcast"" R <>""Medium==collision"") && (([](""Slave1==got"" <-> []""User3==wrong_data"") R (""Slave1==enquire"" || [](""Slave1==got"" <-> []""User3==wrong_data""))) -> !""Slave1==enquire""))",1000.0,
