benchmark,baseline_time,optimized_time,optimization_time,total_optimized_time,equivalence_time,containment_time,baseline_props,optimized_props,original_count,optimized_count,reduction_percentage,mc_speedup,net_speedup,mc_improvement,net_improvement,overhead_ratio,time_saved_mc,time_saved_net,performance_category,size_category,baseline_avg_time,optimized_avg_time
phils.5_000,14.89201407309156,7.640407023020089,0.0061006546020507,7.6465076776221395,0.004288911819458,0.0016536712646484,6,3,6.0,3.0,50.0,1.949112662221111,1.9475575911175413,48.69460245256166,48.65363650549696,0.00040965947064702265,7.25160705007147,7.24550639546942,Strong Benefit,Small,2.48200234551526,2.546802341006696
rether.5_000,68.22377307305578,59.84256002900656,0.0100898742675781,59.85264990327414,0.0059270858764648,0.0039789676666259,10,8,10.0,8.0,20.0,1.140054386710507,1.1398621979696795,12.28488643551625,12.270097053731732,0.00014789381784519016,8.381213044049218,8.37112316978164,Strong Benefit,Small,6.822377307305578,7.48032000362582
phils.3_000,0.0663175069494173,0.0358646741369739,0.0058546066284179,0.041719280765391796,0.0041041374206542,0.0015983581542968,6,3,6.0,3.0,50.0,1.8491038478737694,1.5896129015826883,45.91974911793781,37.091602678592,0.08828146439345821,0.030452832812443396,0.024598226184025497,Strong Benefit,Small,0.0110529178249028,0.0119548913789913
phils.1_000,0.0861960131442174,0.1202818769961595,0.0059807300567626,0.1262626070529221,0.0041584968566894,0.0016682147979736,6,3,6.0,3.0,50.0,0.7166167946229304,0.6826725279645852,-39.54459447551467,-46.48311731270907,0.06938522837194387,-0.034085863851942094,-0.040066593908704706,Strong Loss,Small,0.0143660021907029,0.0400939589987198
lann.5_000,4000.0,2000.0,0.003488540649414,2000.0034885406494,0.0024588108062744,0.0008478164672851,4,2,4.0,2.0,50.0,2.0,1.9999965114654354,50.0,49.99991278648376,8.721351623535e-07,2000.0,1999.9965114593506,Strong Benefit,Tiny,1000.0,1000.0
at.2_000,0.6359985929448158,0.2892507249489426,0.0034687519073486,0.2927194768562912,0.0024249553680419,0.0008742809295654,6,3,6.0,3.0,50.0,2.198779598761869,2.172723864415265,54.52022564866896,53.974823198753555,0.005454024499154161,0.34674786799587315,0.34327911608852457,Strong Benefit,Small,0.1059997654908026,0.0964169083163142
driving_phils.4_000,4000.0,2000.0,0.0030906200408935,2000.003090620041,0.0021424293518066,0.0007779598236083,4,2,4.0,2.0,50.0,2.0,1.999996909384735,50.0,49.99992273449897,7.72655010223375e-07,2000.0,1999.996909379959,Strong Benefit,Tiny,1000.0,1000.0
lamport_nonatomic.5_000,3940.83522757201,1819.3825922419785,0.0061519145965576,1819.388744156575,0.0040769577026367,0.0018975734710693,6,3,6.0,3.0,50.0,2.166028873957632,2.1660215499458233,53.832563728808346,53.832407621936554,1.5610687180006406e-06,2121.4526353300316,2121.446483415435,Strong Benefit,Small,656.8058712620017,606.4608640806595
driving_phils.1_000,0.1153781048487871,0.0484653980238363,0.0031824111938476,0.0516478092176839,0.0022380352020263,0.0007598400115966,4,2,4.0,2.0,50.0,2.3806284391194255,2.2339399598247107,57.99428488849392,55.2360395541487,0.027582453343452145,0.0669127068249508,0.0637302956311032,Strong Benefit,Tiny,0.0288445262121967,0.0242326990119181
phils.6_000,624.5398656721227,331.1341185941128,0.0066103935241699,331.140728987637,0.0045351982116699,0.0018844604492187,6,3,6.0,3.0,50.0,1.8860631707892703,1.8860255202718952,46.97950654635152,46.97844810414671,1.0584422048151993e-05,293.4057470780099,293.3991366844857,Strong Benefit,Small,104.08997761202043,110.37803953137092
elevator2.1_000,0.1157977731199935,0.0694516968214884,0.0220727920532226,0.091524488874711,0.0143816471099853,0.0074975490570068,11,5,11.0,5.0,54.54545454545454,1.6673138082951142,1.2652108145450611,40.02328805622174,20.961788462140557,0.19061499594081177,0.046346076298505096,0.024273284245282495,Strong Benefit,Small,0.0128664192355548,0.0138903393642976
mcs.2_000,0.0713164439657703,0.0338037088513374,0.0062313079833984,0.0400350168347358,0.0044155120849609,0.0016553401947021,6,3,6.0,3.0,50.0,2.1097224650527884,1.7813516667212597,52.60040045243684,43.862853209630906,0.08737547242805932,0.037512735114432906,0.0312814271310345,Strong Benefit,Small,0.011886073994295,0.0112679029504458
anderson.7_000,7000.0,4000.0,0.0058863162994384,4000.0058863162994,0.0034959316253662,0.0022177696228027,7,4,7.0,4.0,42.85714285714285,1.75,1.7499974247404086,42.857142857142854,42.85705876691001,8.409023284912001e-07,3000.0,2999.9941136837006,Strong Benefit,Small,1000.0,1000.0
mcs.3_000,11.908218843047509,5.866181804100052,0.0063230991363525,5.872504903236405,0.0043606758117675,0.001807689666748,6,3,6.0,3.0,50.0,2.029977801697945,2.0277920647600913,50.73837757419983,50.68527896037948,0.0005309861382035464,6.0420370389474565,6.035713939811104,Strong Benefit,Small,1.9847031405079176,1.955393934700017
