,formula,time,result
0,"!(!(X ""a2==S"" R (""a1==S"" || X ""a2==S"")) R ([]<>""a1==K"" || !(X ""a2==S"" R (""a1==S"" || X ""a2==S""))))",12.628220206010155,False
1,"!(!X ([]<>""a1==K"" R !""a1==K"") -> (""a1==K"" R ""a2==K""))",5.838943247916177,False
2,"!([]!""a1==S"" R ((<>""a1==K"" <-> <>""a2==K"") || []!""a1==S""))",8.775018954998814,False
3,"!(!((""a1==K"" R (""a1==K"" || ""a2==K"")) R X ""a1==K"") <-> !(<>""a1==K"" U ((""a2==S"" R ""a2==K"") && <>""a1==K"")))",17.379159927018918,False
4,"!((""a2==K"" <-> []<>""a2==K"") <-> X (X ""a1==S"" <-> X ""a2==K""))",15.009795201011002,False
5,"!(([]""a2==S"" || <>""a1==S"") <-> (""a2==S"" R (""a2==S"" || [](true U ""a2==K""))))",6.276437669992447,False
6,"!([]([]!<>[]""a1==K"" U (<>[]""a2==K"" || !(""a2==S"" U ""a1==K""))))",15.936332093086094,False
7,"!([](<>""a1==S"" U (""a2==S"" R (""a2==S"" || []X (""a1==S"" <-> (""a2==K"" <-> (""a1==K"" U ""a2==S"")))))))",13.804394333972596,True
8,"!(([]""a1==S"" U (""a2==S"" U (""a2==S"" && X []!""a1==S""))) U [](""a1==S"" -> <>""a1==K""))",6.952996251988225,False
9,"!(!(X !""a1==K"" <-> <>[](true U [](""a2==S"" && <>""a1==S""))))",17.101047366973944,False
10,"!((false R <>""a2==S"") <-> X ((""a1==S"" <-> ""a2==K"") && (""a1==K"" <-> !""a2==K"")))",17.163930288050324,False
11,"!(!(""a1==S"" <-> (<>X (true U ""a2==K"") || <>[](![]""a1==K"" U ""a2==S""))))",12.332244188059121,False
12,"!((true U ""a2==K"") -> []<>""a1==S"")",6.174284336040728,False
13,"!((""a1==K"" <-> ""a1==S"") -> []X !(<>""a1==K"" <-> (""a1==K"" U (""a1==K"" && ""a1==S""))))",6.135487867984921,True
