,formula,time,result
0,"!(X !((""Person_0==Spilberk"" U ""Person_1==Svobodak"") <-> ([]([]""Person_0==Moravak"" R ""Person_1==Svobodak"") R (<>X ""Person_1==Ceska"" || []([]""Person_0==Moravak"" R ""Person_1==Svobodak"")))))",18.799862441956066,False
1,"!(<>[]<>(<>((""Person_0==Malinak"" && ""Person_1==Svobodak"") || X ""Person_1==Moravak"") U (""Person_1==Ceska"" R (""Person_1==Ceska"" || X ""Person_0==Ceska""))))",5.847404457977973,True
2,"!([]((!(""Person_1==Ceska"" <-> ""Person_1==Petrov"") R (""Person_0==Malinak"" U !""Person_0==Ceska"")) -> <>(""Person_0==Petrov"" R []""Person_1==Petrov"")))",11.827575903036632,False
3,"!(!<>""Person_1==Ceska"" R ((false R [](X X <>""Person_0==Ceska"" U ""Person_0==Malinak"")) || !<>""Person_1==Ceska""))",11.778338263975456,False
4,"!([]((""Person_1==Svobodak"" U !""Person_1==Svobodak"") U ((""Person_1==Svobodak"" U !""Person_1==Svobodak"") && [](""Person_0==Petrov"" U (""Person_0==Petrov"" && ""Person_0==Svobodak"")))))",5.752360888989642,True
5,"!([]((<>""Person_0==Ceska"" R ((X (""Person_0==Ceska"" || ""Person_0==Moravak"") U ""Person_0==Malinak"") || <>""Person_0==Ceska"")) R (([]""Person_1==Malinak"" U ""Person_1==Malinak"") || (<>""Person_0==Ceska"" R ((X (""Person_0==Ceska"" || ""Person_0==Moravak"") U ""Person_0==Malinak"") || <>""Person_0==Ceska"")))))",6.022206093068235,True
6,"!(""Person_1==Svobodak"" U !([](""Person_1==Spilberk"" -> !""Person_0==Ceska"") <-> !(""Person_0==Malinak"" R <>""Person_0==Spilberk"")))",24.558931572944857,False
7,"!([]""Person_0==Svobodak"" <-> (<>""Person_0==Petrov"" && []((""Person_1==Malinak"" U (""Person_0==Spilberk"" && ""Person_1==Malinak"")) U !""Person_0==Ceska"")))",11.094809184898622,False
8,"!(<>((""Person_0==Petrov"" || (""Person_0==Svobodak"" && []""Person_0==Moravak"")) && (""Person_1==Svobodak"" U (""Person_1==Malinak"" && ""Person_1==Svobodak""))) R ([]<>""Person_0==Malinak"" || <>((""Person_0==Petrov"" || (""Person_0==Svobodak"" && []""Person_0==Moravak"")) && (""Person_1==Svobodak"" U (""Person_1==Malinak"" && ""Person_1==Svobodak"")))))",12.02688979508821,False
9,"!(""Person_1==Ceska"" U ([](<>""Person_1==Moravak"" U (X ""Person_1==Malinak"" && <>""Person_1==Moravak"")) R (((""Person_1==Moravak"" -> X ""Person_0==Svobodak"") U ""Person_0==Svobodak"") || [](<>""Person_1==Moravak"" U (X ""Person_1==Malinak"" && <>""Person_1==Moravak"")))))",18.7280838759616,False
