total_formulas_original,total_classes_original,single_formula_classes_original,multi_formula_classes_original,equivalence_class_time_original,containment_analysis_time_original,total_time_original,original_formula_count_original,optimized_formula_count_original,reduction_percentage_original,benchmark_name,method_original,total_formulas_enhanced,total_classes_enhanced,single_formula_classes_enhanced,multi_formula_classes_enhanced,equivalence_class_time_enhanced,containment_analysis_time_enhanced,total_time_enhanced,original_formula_count_enhanced,optimized_formula_count_enhanced,reduction_percentage_enhanced,preprocessing_time,formulas_simplified,simplification_reduction,subformula_extraction_time,total_subformulas,unique_subformulas,avg_subformulas_per_formula,lattice_construction_time,lattice_nodes,lattice_edges,lattice_levels,refinement_analysis_time,cross_formula_refinements,syntactic_refinements,subformula_coverage_reduction,syntactic_optimization_benefit,method_enhanced
8.0,2.0,0.0,2.0,0.0044050216674804,0.0007338523864746,0.0053179264068603,8.0,8.0,0.0,bopdp.2_000,original,8.0,2.0,0.0,2.0,0.0028583765029907,0.0012250185012817,0.0059142112731933,8.0,8.0,0.0,0.0007703304290771,8.0,42.47619047619048,0.0007362365722656,68.0,48.0,8.5,0.0,0.0,0.0,0.0,0.0001912117004394,32.0,32.0,0.0,0.0,enhanced
4.0,1.0,0.0,1.0,0.0026605129241943,0.0010755062103271,0.0039153099060058,4.0,2.0,50.0,lann.7_000,original,4.0,1.0,0.0,1.0,0.0022458791732788,0.0009625196456909,0.0054712295532226,4.0,2.0,50.0,0.0005304813385009,4.0,24.24242424242424,0.0003547668457031,28.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0001718997955322,11.0,0.0,42.85714285714285,0.0,enhanced
6.0,1.0,0.0,1.0,0.0042047500610351,0.0016345977783203,0.0059955120086669,6.0,3.0,50.0,phils.4_000,original,6.0,1.0,0.0,1.0,0.0037994861602783,0.0016283512115478,0.0087561607360839,6.0,3.0,50.0,0.0009725093841552,6.0,18.609406952965237,0.0006396770477294,52.0,36.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0002117156982421,27.0,27.0,42.30769230769231,0.0,enhanced
4.0,1.0,0.0,1.0,0.0026166439056396,0.0007355213165283,0.0035245418548583,4.0,4.0,0.0,brp.4_001,original,4.0,1.0,0.0,1.0,0.0022301912307739,0.0009557962417602,0.0047430992126464,4.0,4.0,0.0,0.0005240440368652,4.0,16.52173913043478,0.0004057884216308,24.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0001800060272216,9.0,9.0,0.0,0.0,enhanced
4.0,1.0,0.0,1.0,0.002709150314331,0.0007545948028564,0.0036461353302001,4.0,4.0,0.0,elevator.5_000,original,4.0,1.0,0.0,1.0,0.0021664381027221,0.0009284734725952,0.0049304962158203,4.0,4.0,0.0,0.0004346370697021,4.0,16.52173913043478,0.0003712177276611,24.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0001702308654785,9.0,9.0,0.0,0.0,enhanced
6.0,1.0,0.0,1.0,0.0041468143463134,0.0015656948089599,0.0058932304382324,6.0,3.0,50.0,lamport_nonatomic.1_000,original,6.0,1.0,0.0,1.0,0.003617238998413,0.0015502452850341,0.0076014995574951,6.0,3.0,50.0,0.000608205795288,6.0,37.95918367346939,0.000411033630371,34.0,22.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0002014636993408,23.0,2.0,47.05882352941176,0.0,enhanced
9.0,1.0,0.0,1.0,0.0043177604675292,0.0040309429168701,0.0085375308990478,9.0,3.0,66.66666666666666,bakery.5_000,original,9.0,1.0,0.0,1.0,0.0054009914398193,0.0023147106170654,0.0097236633300781,9.0,3.0,66.66666666666666,0.0008585453033447,9.0,24.922118380062305,0.0007562637329101,78.0,48.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0002591609954833,69.0,10.0,70.51282051282051,3.846153846153854,enhanced
4.0,1.0,0.0,1.0,0.002526044845581,0.000931978225708,0.0036396980285644,4.0,2.0,50.0,lann.6_000,original,4.0,1.0,0.0,1.0,0.0020928382873535,0.00089693069458,0.0051898956298828,4.0,2.0,50.0,0.0004725456237792,4.0,25.59523809523809,0.0003650188446044,25.0,18.0,6.25,0.0,0.0,0.0,0.0,0.0001733303070068,10.0,0.0,44.0,0.0,enhanced
9.0,1.0,0.0,1.0,0.0041277408599853,0.0040457248687744,0.0083582401275634,9.0,3.0,66.66666666666666,bakery.7_000,original,9.0,1.0,0.0,1.0,0.0052809953689575,0.0022632837295532,0.0095067024230957,9.0,3.0,66.66666666666666,0.0008487701416015,9.0,24.922118380062305,0.0007402896881103,78.0,48.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0002455711364746,69.0,10.0,70.51282051282051,3.846153846153854,enhanced
8.0,1.0,0.0,1.0,0.0043027400970458,0.0039200782775878,0.0084118843078613,8.0,5.0,37.5,anderson.5_000,original,8.0,1.0,0.0,1.0,0.0053138732910156,0.0022773742675781,0.0097930431365966,8.0,5.0,37.5,0.0009934902191162,8.0,20.97428958051421,0.0008113384246826,84.0,54.0,10.5,0.0,0.0,0.0,0.0,0.0002636909484863,62.0,4.0,41.66666666666667,4.166666666666671,enhanced
